source,target
827,790
978,652
535,637
655,938
704,723
906,917
968,753
734,728
826,802
884,694
829,907
649,714
655,869
658,727
676,574
660,570
513,804
579,953
812,863
979,758
949,849
710,561
998,977
816,758
530,804
906,927
655,730
775,972
502,946
812,998
948,922
554,708
847,807
787,532
697,718
984,875
783,528
975,546
932,955
555,536
841,656
742,819
577,532
773,706
583,740
906,512
513,951
561,534
648,539
559,887
612,603
669,904
588,776
976,757
820,679
787,709
732,964
723,792
852,691
616,848
894,799
809,651
816,643
550,903
646,680
897,546
879,802
844,881
897,643
593,909
997,823
853,621
566,819
564,676
787,831
906,800
582,683
840,662
851,987
610,920
582,515
862,929
509,694
560,981
660,717
681,854
840,964
609,639
975,870
734,528
713,597
540,620
948,653
755,984
868,782
948,924
804,615
944,593
698,760
867,784
967,726
649,969
805,791
854,793
695,508
947,647
987,898
740,771
724,684
841,585
569,843
635,543
817,674
960,530
704,935
746,810
527,895
557,659
507,934
976,655
702,854
979,691
803,920
944,989
664,754
825,565
743,503
849,927
833,947
747,749
734,973
898,778
980,742
977,859
783,992
649,902
722,953
957,835
881,866
914,524
960,561
968,704
635,934
699,811
827,802
622,850
854,894
509,528
639,549
801,641
803,799
674,985
504,547
746,593
987,646
878,711
759,750
829,970
523,679
591,925
747,839
773,860
575,511
758,526
571,526
894,627
552,691
582,662
960,931
949,788
995,780
987,824
997,752
732,576
833,792
695,921
775,832
674,535
602,623
878,671
967,935
603,563
778,541
561,504
769,921
660,556
639,655
846,593
870,861
925,704
756,893
998,560
678,897
605,858
918,777
513,712
855,858
812,985
524,981
697,591
810,612
534,709
870,630
901,555
735,956
717,564
759,583
571,711
853,588
981,856
781,662
844,620
554,871
678,510
760,991
720,669
621,929
989,680
649,680
991,617
635,560
968,564
836,815
538,508
998,781
722,710
820,799
788,675
635,630
880,993
509,550
810,918
849,794
890,614
957,809
746,544
836,548
851,643
720,781
988,614
816,825
507,920
922,637
841,709
880,740
758,665
998,704
704,572
846,523
536,955
755,889
981,514
874,709
936,817
715,861
554,854
918,776
621,811
521,618
828,620
787,949
998,549
853,650
850,769
810,701
656,719
596,545
995,911
839,765
952,792
997,958
960,606
948,560
855,966
851,934
729,869
699,863
773,868
976,558
698,895
622,914
678,616
978,733
826,927
943,924
759,836
888,571
943,825
513,834
917,977
788,973
661,551
960,751
835,961
618,502
651,688
538,504
849,728
612,815
660,584
710,961
850,918
940,614
895,679
518,751
989,593
817,596
836,584
704,803
976,911
846,928
783,531
978,921
917,646
609,850
507,964
698,572
782,971
559,975
742,560
728,868
854,713
937,771
721,663
724,564
997,726
657,998
998,527
957,913
573,868
997,736
961,660
854,566
734,565
509,849
568,626
602,901
995,588
669,945
538,509
504,967
540,794
560,655
698,519
646,959
686,828
827,775
648,854
743,746
669,900
639,787
778,713
812,926
671,851
816,688
547,590
755,559
932,513
609,756
849,818
803,558
862,717
975,877
535,945
561,997
817,702
716,536
523,559
874,891
893,530
635,629
988,842
839,865
839,595
590,770
681,904
540,797
940,672
610,983
937,586
762,787
811,852
509,795
692,508
826,539
906,895
811,928
853,500
803,942
664,946
530,859
998,649
960,506
976,789
854,619
544,690
806,881
509,929
509,960
618,883
521,596
655,806
854,974
583,784
882,628
509,500
949,557
788,918
593,710
773,889
560,907
968,782
816,699
862,719
812,948
635,924
759,565
980,859
895,755
635,978
952,971
740,591
841,523
755,807
989,555
918,587
721,989
732,690
936,885
695,821
959,652
976,518
925,853
704,668
504,989
967,779
833,712
646,605
825,900
681,984
561,736
841,891
747,926
755,803
976,804
719,998
704,539
787,567
635,743
762,516
532,679
977,760
914,903
891,610
655,915
945,930
527,730
613,970
674,594
704,534
612,718
755,640
826,897
743,639
810,531
673,569
850,565
612,749
554,843
884,964
925,707
534,980
816,550
560,879
642,982
656,685
968,998
998,769
948,533
722,500
657,516
942,701
997,778
582,922
870,818
931,554
952,770
655,760
891,916
686,660
505,910
613,887
608,916
789,806
612,949
845,700
810,858
